Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model,Car_Age,Mileage_per_Year,log_price,is_luxury,Luxury_EngineV_Interaction
BMW,4200.0,sedan,277,2.0,Petrol,yes,1991,320,34,8.15,8.34283980427146,1,2.0
Mercedes-Benz,7900.0,van,427,2.9,Diesel,yes,1999,Sprinter 212,26,16.42,8.974618038455112,1,2.9
Mercedes-Benz,13300.0,sedan,358,5.0,Gas,yes,2003,S 500,22,16.27,9.495519314209846,1,5.0
Audi,23000.0,crossover,240,4.2,Petrol,yes,2007,Q7,18,13.33,10.043249494911286,1,4.2
Toyota,18300.0,crossover,120,2.0,Petrol,yes,2011,Rav 4,14,8.57,9.814656338829513,0,0.0
Audi,14200.0,vagon,200,2.7,Diesel,yes,2006,A6,19,10.53,9.560997243589352,1,2.7
Renault,10799.0,vagon,193,1.5,Diesel,yes,2012,Megane,13,14.85,9.28720881623276,0,0.0
Volkswagen,1400.0,other,212,1.8,Gas,no,1999,Golf IV,26,8.15,7.24422751560335,0,0.0
Renault,11950.0,vagon,177,1.5,Diesel,yes,2011,Megane,14,12.64,9.388486557359657,0,0.0
Renault,2500.0,sedan,260,1.79,Petrol,yes,1994,19,31,8.39,7.824046010856292,0,0.0
Audi,9500.0,vagon,165,2.7,Gas,yes,2003,A6 Allroad,22,7.5,9.159047077588632,1,2.7
Volkswagen,10500.0,sedan,100,1.8,Petrol,yes,2008,Passat B6,17,5.88,9.259130536145614,0,0.0
Toyota,16000.0,crossover,250,4.7,Gas,yes,2001,Land Cruiser 100,24,10.42,9.680344001221918,0,0.0
Renault,8600.0,hatch,84,1.5,Diesel,yes,2012,Clio,13,6.46,9.0595174822416,0,0.0
BMW,2990.0,other,203,2.0,Petrol,no,2001,318,24,8.46,8.003028666384733,1,2.0
Toyota,26500.0,crossover,21,2.0,Petrol,yes,2013,Rav 4,12,1.75,10.184900011974314,0,0.0
Audi,3500.0,vagon,250,2.5,Diesel,no,1998,A6,27,9.26,8.160518247477505,1,2.5
Toyota,38233.0,other,0,2.4,Diesel,yes,2016,Hilux,9,0.0,10.551454296015532,0,0.0
Volkswagen,7500.0,hatch,132,1.4,Diesel,yes,2006,Polo,19,6.95,8.922658299524402,0,0.0
Audi,6800.0,sedan,225,2.4,Gas,yes,1998,A6,27,8.33,8.824677891164198,1,2.4
Mitsubishi,10500.0,crossover,130,2.4,Gas,yes,2006,Outlander,19,6.84,9.259130536145614,0,0.0
Audi,24900.0,sedan,163,4.2,Diesel,yes,2008,A8,17,9.59,10.1226230824528,1,4.2
Volkswagen,20800.0,crossover,151,3.0,Diesel,yes,2008,Touareg,17,8.88,9.94270826568941,0,0.0
Audi,6500.0,sedan,330,2.4,Petrol,yes,1999,A6,26,12.69,8.779557455883728,1,2.4
Mercedes-Benz,13566.0,other,171,2.2,Other,no,2011,Vito,14,12.21,9.515321941506025,1,2.2
Mitsubishi,8500.0,hatch,65,1.3,Petrol,yes,2010,Colt,15,4.33,9.047821442478408,0,0.0
Audi,2900.0,sedan,1,2.3,Gas,yes,1989,100,36,0.03,7.9724660159745655,1,2.3
